,shortcode,edge_media_preview_comment.count,edge_media_preview_like.count,edge_media_to_caption.edges
41,B8PN4-InrZ6,0,4,[{'node': {'text': '当有良知的人在说话的时候，那些只为自己利益考虑的人请原地自杀！#李文亮医生去世 #liwenliang'}}]
42,B8PduH0lzJH,1,20,[{'node': {'text': 'Dr Li Wenliang #liwenliang #prayforchina #coronavirus #truthteller #hero #freedomofspeech'}}]
43,B8Qdkumoerx,1,20,"[{'node': {'text': '😷😷😷 Le docteur Li Wenliang est mort en Chine, le jeudi 6 février 2020, après plusieurs jours d’infection au coronavirus. Cet homme était un «\xa0lanceur d’alerte\xa0». Il avait été le premier à alerter sur les dangers du coronavirus, en décembre 2019. Un homme tancé par le pouvoir chinois pour avoir «\xa0propagé des fausses rumeurs\xa0». Depuis, l’épidémie de coronavirus a explosé en Chine. A tel point que ce médecin est devenu un véritable héros pour la population chinoise face au pouvoir accusé d’avoir minimisé l’importance de l’épidémie. .\n.\n.\n.\n.\n( Source : Afp / 📸 ) #liwenliang  #chine #china #coronavirus #maladie #virus #omerta #lanceurdalerte #wuhan #epidemie #alerte #emergency #infostories #lastoryquivousinforme'}}]"
44,B8QUwZCFiju,0,4,[{'node': {'text': 'R.I.P. 李文亮 🕯️#liwenliang'}}]
45,B8PEG-ND9bY,0,6,[{'node': {'text': 'R.I.P🙏🙏😣😭\n#LIWENLIANG #李文亮'}}]
46,B8QCwURhKwa,0,1,[{'node': {'text': '#liwenliang #wuhan'}}]
47,B8QaB13H5Ma,0,2,[{'node': {'text': 'Speak now or forever hold your peace. #wuhanjiayou #liwenliang #badmood #rip'}}]
48,B8QIbfRBshx,0,8,"[{'node': {'text': '“我是李先生” “Call Me Mr.Li""\n\nDate: 2020/2/6\n\n#callmemrli #liwenliang #humanrights #tokyodisneyland #china #coronavirus #wuhan #medicalsupport #policy #hedyzhangart2020'}}]"
49,B8KrDi3pXgX,0,1,[{'node': {'text': 'Meher Baba online Library🍎\n.\n.\n.\n.\nFREE online books🍎\n.\n.\n.\n.\n.\n.\n.\n.\n#RushLimbaugh \n#RushHudsonLimbaugh \n#KhuramButt \n#KhuramShazadButt \n#RachidRedouane \n#YoussefZaghba \n#FangBin \n#AkhileshRawat \n#LisaNandy \n#KehindeAndrews \n#WhiteRage \n#CarolAnderson \n#JohnMagufuli \n#JohnJosephPombeMagufuli \n#LiWenliang \n#CindyTaylor \n#KeyonBastani \n#HaleemaKhan \n#ViktarSyarhel \n#NataliyaKolb \n#KeithTroeth .\n.\n.'}}]
50,B8PGAPcHNa9,0,1,[{'node': {'text': '英雄，一路走好🙏🙏🙏#wuhan #liwenliang'}}]
0,B8QDnDchdLE,0,1,"[{'node': {'text': 'Li and his mom wechat “Proud of you and take care, I hear someone want to help our family,we don’t need money, give the donation to someone who really needs ”\nLi answered: okay, and after one or two weeks I can go back home from the hospital (don’t worry)\n#Wuhan #liwenliang #wuhancoronavirus \n这些质朴善良的人民啊#wechinesepeople'}}]"
1,B8PibMECHcP,4,12,"[{'node': {'text': 'UNA PENA. \nAmo mi patria, amo mis pueblos, amo las personas que se sacrifican para otras personas. \nEres una gran médico, gran persona. Todos los chinos lloran por ti. Solo lágrimas sin palabras. \nMe da mucha pena y mucho dolor lo que pasa ahora en mi tierra y lo que ha pasado en ti. \nDescansa en paz.\n\n我觉得痛苦且遗憾。为了那些牺牲自己的人。\n\n#liwenliang #china #中国加油 #jiayou #加油 #李文亮'}}]"
2,B8QLUJvnJqe,1,18,[{'node': {'text': '💔Farewell! Dr.Li Wen Liang !.\n.为众人抱薪者，不可使其冻毙于风雪；\n.为大众谋福利者，不可使其孤军奋战；\n.为自由开道者，不可令其困厄于荆棘。\n.\n#coronavirus #corona #liwenliang #liwenliang💔 #hero'}}]
3,B8Pfb6lBy6f,1,12,[{'node': {'text': '不能 不明白 .\n.\n.\n.\n#李文亮 \n#rip \n#liwenliang \n#wuhan\n#coronavirus'}}]
4,B8PLJObpVYT,1,66,"[{'node': {'text': ""Chinese doctor Li Wenliang, one of the eight whistle-blowers who warned other medics of the coronavirus outbreak but were reprimanded by the police, died of the epidemic on Thursday, official media reported.\nLi Wenliang, a 34-year-old doctor who tried to warn other medics of the epidemic, died of coronavirus on Thursday in Wuhan, the state-run Global Times reported.\n\nHe was the first to report about the virus way back in December last year when it first emerged in Wuhan, the provincial capital of China's central Hubei province.\n\nImage Credit: @smithmarion (Twitter)\n\n#china #wuhan #wuhancity #worldnews #doctor #coronavirus #disease #WHO #worldhealthorganization #liwenliang #rip #coronavirusoutbreak #latestnews #newsupdates #epidemic #news #chinesedoctor #medical""}}]"
5,B8PqrI8H3hT,0,3,[{'node': {'text': '#Repost @qiuyunqiuyun with @make_repost\n・・・\nthat party sucks\n#liwenliang #coronavirus #2019ncov #whistleblowers'}}]
6,B8PZHiVIC-_,0,14,[{'node': {'text': 'Dr. LI Wenliang brought people the firewood but he died by the frost. \nNo more words can explain our sadness and anger now. \nSomeone still owes him a huge apology.\n.\n\n#doctor #dr #rip #thankyou #foreverything #virus #corona #apologize #kindness #remember #arzt #wuhan #liwenliang #whistle #who #pain #winter #frost #public #heartbroken #sadness #痛 #心 #醫生'}}]
7,B8PSqn8BnEM,7,502,"[{'node': {'text': '\u200c\nلی ونلیانگ، پزشک چینی که اولین بار متوجه شیوع #ویروس_کرونا شد و می\u200c\u200cخواست مردم را باخبر کند اما مقامات چین نگذاشتند، خودش در اثر بیماری کرونا درگذشت\n\u200c\n#LiWenliang, the #Chinese doctor who tried to warn people about the #CoronaVirus outbreak died from infection'}}]"
8,B8PNmn0nZ-n,0,1,[{'node': {'text': '#liwenliang'}}]
9,B8PzHh1HMFe,0,12,[{'node': {'text': 'RIP. Dr Li\n“一个健康的社会不该只有一种声音”#liwenliang #hero'}}]
10,B8O7yCqHyNE,0,1,[{'node': {'text': '🙏🏻🌌\n#liwenliang \n這世間配不上你'}}]
11,B8Pnp5sBGrV,175,10357,"[{'node': {'text': 'Chinese doctor who was early coronavirus whistleblower dies of infection\n.\nA Chinese doctor — targeted by the Chinese police for warning his colleagues of the deadly coronavirus — has died of infection, according to the BBC. Li Wenliang was an ophthalmologist at Wuhan Central Hospital.\n.\nOn 30 December, 34-year-old Dr. Li noticed seven cases of a virus resembling SARS — the 2003 global epidemic — and warned his fellow doctors in a chat group that they needed to don protective clothing to prevent infection from the new virus.\n📸 Li Wenliang\n#coronavirus #liwenliang #health'}}]"
12,B8P25vBlRvS,8,34,[{'node': {'text': '#不能不明白 #liwenliang'}}]
13,B8P_qlClloV,0,8,[{'node': {'text': 'I will remember this day for the rest of my life #liwenliang'}}]
14,B8QZUTOAFnB,0,7,[{'node': {'text': '沉默的感叹号！ #李文亮 #不能不明白 #liwenliang #freeofspeech'}}]
15,B8QW9JzlmFd,0,2,"[{'node': {'text': ""I don't know if anybody knows this but this man risked it all to get us the knowledge that we have right now about this potential pandemic of a virus thank you #doctor #Liwenliang #rip #wuhanvirus #whistleblowers share the post spread the news and don't forget to #washyourass out there!!! Also #washyourhands \nhttps://youtu.be/Z_8LnnHMeG4 #viral""}}]"
16,B8PmsmeHJBI,0,1,[{'node': {'text': '不能忘记 #liwenliang'}}]
17,B8PFdFSnLkS,0,12,"[{'node': {'text': '#coronavirus #liwenliang earlier today, one of the doctors DIED of the virus. And the government is still trying to cover that up. If they listened to his call, we wouldn’t have been in such a mess now, and he, and so many people wouldn’t have died. THEY killed him. The lack of freedom killed him. And that’s what’s making us furious.#不能 #不明白'}}]"
18,B8Qpg2wB9SX,0,6,"[{'node': {'text': 'Li Wenliang, a medical doctor and one of the first eight people to warn the public about the novel coronavirus, has died late last night due to the infection, sparking a level of collective anger and grief unseen on Chinese social media.💔\n.\nHe had warned his classmates in a private WeChat message about a SARS-like virus spreading in Wuhan, the epicentre of the epidemic.‼️\n.\n#wuhan #wuhanvirus #wuhanchina #wuhancoronavirus #liwenliang #doctor #coronavirus #coronavirusoutbreak #chinese #thesstories #thesstoriesbysa @thesstoriesbysa'}}]"
19,B8P8ufrBvJM,2,1,[{'node': {'text': 'R.I.P a young MAN who told us the truth'}}]
20,B8POGs_HNDA,0,1,"[{'node': {'text': '#liwenliang He was an eye doctor, but was sent to the front line！！！u understand？hhhh'}}]"
21,B8QhNg0iR_u,1,19,[{'node': {'text': 'Artist : unknown. I saw this on my #wechat moments this morning. It was not #censored surprisingly. Something is happening in #china with the #coronavirus #LiWenliang is a hero. Please learn about his story. Share it. RIP'}}]
22,B8Ps2SgFc8q,0,7,[{'node': {'text': '为众人抱薪者，冻毙于风雪之中……[流泪][流泪][流泪] #rip #liwenliang'}}]
23,B8PX8VEpG2S,0,19,[{'node': {'text': '“Do we really understand？”我们到底明不明白，02.06.2020\n#李文亮医生去世 #liwenliang #中国 #china'}}]
24,B8O9BI_h4EV,7,18,"[{'node': {'text': '🥺 #RIP Hoy MUERE Li Wenliang, el médico que trató de alertar sobre el brote del nuevo #CORONAVIRUS 😷\n.\n.\n👨\u200d⚕️ #LiWenliang uno de los primeros #médicos chinos en alertar sobre la aparición de un nuevo #coronavirus, también conocido como neumonía de Wuhan, #falleció este #jueves según informaciones locales.\n.\n.\n👨\u200d⚕️Tras detectar siete casos de un virus muy similar al SARS, Li, oftalmólogo del Hospital Central de la ciudad, usó las redes sociales para advertir a sus colegas.\n.\n.\n👨\u200d⚕️Li no sabía en aquel entonces era que lo que acababa de identificar era un coronavirus completamente nuevo.\n.\n.\n👨\u200d⚕️ En su mensaje del 30 de diciembre, enviado a través de un chat, Li recomendaba que tuvieran cuidado con una nueva enfermedad misteriosa y les recomendó usar ropa protectora para evitar contagiarse.\n.\n.\n👨\u200d⚕️ Cuatro días más tarde, recibió una visita de funcionarios de la Oficina de Seguridad Pública , quienes le dijeron que firmase una carta.\n.\n.\n👨\u200d⚕️ En ella, lo acusaban de ""hacer comentarios falsos"" que habían ""perturbado severamente el orden social"".\n.\n.\n👨\u200d⚕️ Las autoridades tuvieron que pedirle disculpas unos días después, revelando que lo que le ocurrió a este doctor pone de manifiesto la respuesta fallida en las primeras semanas de la epidemia.\n.\n.\n👨\u200d⚕️En las primeras semanas de enero, las autoridades en Wuhan insistían en que solo aquellos que entraban en contacto con animales infectados podían contraer el virus.\n.\n.\n👨\u200d⚕️ A los médicos ni si quiera se les advirtió que usaran mascarillas o ropa protectora.\n.\n.\n😢 Li, que tenía treinta y cuatro años, deja un hijo y una esposa embarazada. #descansaenpaz ——-\nFuente @bbcmundo #china #wuhan #coronavirus'}}]"
25,B8PURB5Hxq7,4,18,[{'node': {'text': '这人世间不配拥有你、以及千千万万冲在一线用肉身对抗病毒的医护者们，真的辛苦你了啊李医生👨\u200d⚕️感谢你所做的一切🙏R.I.P\n\nYou’ll be remembered forever...\n#liwenliang #costoflies'}}]
26,B8QEE4DJEMh,0,2,"[{'node': {'text': 'We honour the death of a normal person, because every one of us is not but normal.\nLet honesty and integrity stand. Even the most a human being can achieve is the meanest scraps of effort, at least a person should ""be allowed"" to be weak, angry and desperate, as well as honest, humble and hardworking.\nThat is how human ""wins"".\nHe was surrounded at his deathbed by doctors, journalists, officials and hundreds of millions of his fellow ""normals"". He struggled during his living days, and was ""forced"" to struggle even after he passed away. We witnessed a tragedy, but what was he witnessing? \nHe will be watching us. He will be watching everything: from a shed of tears to the whole system.\n#NovelCoronaVirus #coronavirus #liwenliang'}}]"
27,B8PUdSGFO3Q,60,4066,"[{'node': {'text': '#luhu:""Tonight is a sleepless nite,is a sad nite,ppl always say, good man must be a good gain.but not in China... a really good doctor got a bad end cause he said a truth, and this truth could have prevented the spread of the plague !! but ... i can\'t say more cause i live in China,super sad sad 😞...""\n-\n-\n#cat #sadcat #angel #adorable #lovely #rip #liwenliang #hero'}}]"
28,B8PNSEAHdoE,0,3,[{'node': {'text': '有的人活着\n他已经死了；\n有的人死了\n他还活着。\n有的人\n骑在人民头上：“呵，我多伟大！”\n有的人\n俯下身子给人民当牛马。\n有的人\n把名字刻入石头，想“不朽”；\n有的人\n情愿作野草，等着地下的火烧。\n有的人\n他活着别人就不能活；\n有的人\n他活着为了多数人更好地活。\n骑在人民头上的\n人民把他摔垮；\n给人民作牛马的\n人民永远记住他！\n把名字刻入石头的\n名字比尸首烂得更早；\n只要春风吹到的地方\n到处是青青的野草。\n他活着别人就不能活的人，\n他的下场可以看到；\n他活着为了多数人更好地活着的人，\n群众把他抬举得很高，很高。\n#李文亮 #LIWenliang'}}]
29,B8QUxoYJuEp,0,17,"[{'node': {'text': ""Can't！Can't understand！Fuck you！\n#liwenliang #李文亮""}}]"
30,B8PJZUqnqU0,4,83,[{'node': {'text': '一个抗议，一个号召。\n\n我们不能忘却，我们要保持愤怒。\n如果你也同样，希望你也能加入进来。'}}]
31,B8QWbJ8FALA,0,2,"[{'node': {'text': 'Li Wenliang RIP. True hero. Stood up against official china and ignored chineese criminal government. True Doctor, True Human. ( Photo credit : Li Wenliang )#liwenliang'}}]"
32,B8P96GWlkOp,0,2,"[{'node': {'text': 'It’s hard to explain my feeling now. last night，a doctor pass away#liwenliang He was an ordinary man, an ordinary doctor 🥼 also,he was one of the first people to told everyone that this catastrophic virus could spread though human.at the time ，some newspaper called him #rumormonger but now we all know who lairs. ‘The healthy society should have more than one voice’ he said an interview.\nI still love my country but I always know China doesn’t equal BLABLABLA forever!\n\nI feel confused now, hope more people can know his story. Thank you for everything RIP 🕯️'}}]"
33,B8PGmgqlb2B,0,14,[{'node': {'text': '我不明白😭#liwenliang #李文亮 #武汉加油'}}]
34,B8Qa2RPlJHm,0,0,[{'node': {'text': '历史重演的今天，适合用《危楼愚夫》献祭。「那些躺下睡去的人，祝你们晚安。」#дурак #wuhan #coronavirus #liwenliang #артембыстров'}}]
35,B8PVlqBndHR,0,6,[{'node': {'text': '#liwenliang #李文亮 #wuhan #corona'}}]
36,B8QSKrzAiA0,0,3,"[{'node': {'text': '#liwenliang The death of ""RUMORMONGER"" is a rumor. What a miserible world!  R.I.P🕯'}}]"
37,B8Pn92HFLLJ,0,17,"[{'node': {'text': '🔻(서울=뉴스1) 김정한 기자= 신종 코로나바이러스 감염증을 최초로 알린 중국 의사가 결국 사망했다고CNN이 6일(현지시간) 보도했다.\n\nCNN은 우한 중앙병원이 지난해 12월 사스급 질병의 가능성을 경고한 내부 고발자인 #리웬리앙 박사의 사망을 확인했다고 전했다.\n\n중앙병원은 성명을 통해 ""우리 병원의 안과 의사 #리원량 박사는 소생 시도가 실패한 직후 중국 시간으로 7일 오전 2시 58분에 사망했다""고 공식 발표했다.\n\n당초 CNN은 리 박사의 사망 소식을 알렸으나, 수시간 후 중앙병원은 이를 부인했다. 그러자 CNN은 중앙병원을 인용, 리 박사가 아직 사망하지 않고 위독한 상태라고 정정 보도했다.\n\n앞서 리 박사의 사망 소식을 전했던 중국 공산당 기관지인 환구시보와 인민일보 등 관영 매체들은 사망 보도를 삭제해 혼란을 키웠다.\n\n이에 많은 사람들이 희망을 가졌지만, 중앙병원 측의 공식 성명으로 결국 리 박사의 사망이 최종 확인됐다. \n앞서 그의 사망 소식이 전해진 직후 중국의 웨이보에는 깊은 슬픔과 분노를 나타내는 누리꾼들의 글이 쇄도했다.\n\n리 박사는 지난해 12월30일 자신의 의대 동문 모임 채팅방에서 ""국내 해산물 시장에서 온 환자 7명이 사스형 질환을 진단받아 우리 병원에 격리됐다""고 글을 올렸다.\n\nCNN에 따르면 리 박사는 이 글을 올린 직후 우한시 공안당국으로부터 괴소문을 퍼뜨린 혐의로 기소됐지만 누리꾼들로부터 \'영웅\'이라는 찬사를 받았다.\n.\n.\n#신종코로나 #신종코로나바이러스 #우한폐렴 #coronavirus #리웬리앙박사 #중국 #LiWenliang\n.\n.\n📩e메일 기사제보 jebo@news1.kr\n.\n📲News1 눈TV 유튜브 구독👆\n.\n프로필 링크 클릭하시면 연결됩니다➡️ 📹www.youtube.com/news1korea .\n.\n.\n#해외영상 #최신영상 #맛스타그램 #일상 #데일리그램 #먹스타그램 #연예인 #인터뷰 #이슈 #데일리그램 #스포츠 #개스타그램 #패션 #ootd #뷰티스타그램  #소통 #자동차 #여행 #육아스타그램'}}]"
38,B8Pz0qnlHNr,0,1,[{'node': {'text': 'Day of national humiliation.#liwenliang \nI wanna be a journalist in the high school for writing but my teacher who was a journalist told me in china you are forced on covering something by government...now I understand. 🕯️🕯️🕯️'}}]
39,B8PeD_6Blcb,0,50,"[{'node': {'text': '高尚是高尚者的墓志铭，山河不语，影像无声！\n#李文亮🦸\u200d♂️ Chinese doctor #liwenliang One of the whistleblowers in#wuhan，and now he die from #coronavirus.😭😖😣🥺\nＩbelieve he is a hero who do what has to be done when it needs to be done, regardless of the consequences.\nR.I.P🙏🙏🙏🕯️🕯️🕯️\n.\n.\n.\n.\n.\n.\n\n#李文亮医生去世 #李文亮先生rip #李文亮醫生 #李文亮医生 #李文亮医生安息 #白衣の戦士 #白衣天使 #生命 #武汉肺炎#天堂#高尚#新型冠狀病毒 #life #rip #doctor #wuhancoronavirus#corona #who #worldhealthorganization#hero'}}]"
40,B8Px_wpo5t_,1,8,"[{'node': {'text': 'Li Wenliang, el doctor que advirtió sobre el coronavirus ha fallecido.\n(Artist: unknow)\n.\nD.E.P. Dr.Li Wenliang\n.\nhttps://www.20minutos.es/noticia/4143842/0/muere-coronavirus-doctor-advertir-infeccion-silenciado-policia/\n.\n.\n.\n#wuhan #prayforwuhan #武漢 #武漢市 #武汉市 #lovewuhan #wuhanchina #coronavirus #lovechina #drliwenliang #doctorliwenliang #liwenliang #dep'}}]"
41,B8QTnBqnOlr,0,8,"[{'node': {'text': 'sekedar info braays 🙏\n\nLi Wenliang, dokter yang mengabarkan terkait munculnya virus corona, meninggal dunia pada Jumat pukul 02:58 waktu setempat. Dokter Li menjadi salah satu pasien yang juga mengalami infeksi virus tersebut.\n.\n@radar_repostt\n#detikcom #viruscorona #DokterLi #LiWenliang'}}]"
42,B8PZ5z9DwOV,1,6,"[{'node': {'text': ""We always know it's not bats make us died, but ourselves. R.I.P 🙏🏻#liwenliang #wuhan #coronavirus""}}]"
43,B8O1OwHHpq9,1,23,"[{'node': {'text': 'geben sollte, und ich billige es nicht, die öffentliche Macht für übermäßige Einmischung zu nutzen"", sagte Li.\n\nWenige Tage nach der Vorladung der Polizei behandelte Li einen Patienten, der zunächst wegen eines Glaukoms eingeliefert wurde, später aber Fieber hatte. Ein Lungenscan des Patienten zeigte auch eine Lungenentzündung. Am 12. Januar fühlte sich Li unwohl und wurde verdächtigt, sich mit dem Virus angesteckt zu haben, und wurde in eine Isolierstation verlegt, sagte Li zu Caixin. Seine Eltern wurden ebenfalls infiziert und ins Krankenhaus geschickt. Am Donnerstag sagte Li, dass sein Testergebnis negativ zurückgekommen sei, aber er blieb auf der Isolierstation.\n\nEr fügte hinzu, dass er nicht vorhabe, den offiziellen Rechtsweg zu beschreiten, um eine Erklärung zu erhalten, und sagte, dass dies für ihn und das Amt für öffentliche Sicherheit problematisch sei: ""Es ist wichtiger, dass die Menschen die Wahrheit kennen, Gerechtigkeit ist für mich weniger wichtig. Li nutzte jedoch die Gelegenheit, um klarzustellen, dass Gerüchte über eine Aussetzung seiner ärztlichen Zulassung nicht wahr sind.\n\nBis Ende Dienstag hatte China 24.324 Coronavirus-Fälle bestätigt, und die Zahl der Todesfälle durch den Coronavirus-Ausbruch hat 490 erreicht.\n#LiWenliang #wuhanstaystrong #wuhan #China'}}]"
44,B8PdZUVIdll,8,74,"[{'node': {'text': '“I can’t. I do not understand” ”不能。不明白。” I’ve almost never felt proud of being a Chinese but tonight I do.\n\nThe whole nation is furious towards the government, over an ordinary doctor’s death.\n\nMy faith, towards the freedom in this country has been dying out as years went by, but now, we all, will be hero, just for that one day. \n#不能不明白 #liwenliang #doyouhearthepeoplesing'}}]"
45,B8Kq_ffpmQe,0,1,[{'node': {'text': 'Meher Baba online Library🍎\n.\n.\n.\n.\nFREE online books🍎\n.\n.\n.\n.\n.\n.\n.\n.\n#RushLimbaugh \n#RushHudsonLimbaugh \n#KhuramButt \n#KhuramShazadButt \n#RachidRedouane \n#YoussefZaghba \n#FangBin \n#AkhileshRawat \n#LisaNandy \n#KehindeAndrews \n#WhiteRage \n#CarolAnderson \n#JohnMagufuli \n#JohnJosephPombeMagufuli \n#LiWenliang \n#CindyTaylor \n#KeyonBastani \n#HaleemaKhan \n#ViktarSyarhel \n#NataliyaKolb \n#KeithTroeth .\n.\n.'}}]
46,B8PtmnZnPiY,1,11,"[{'node': {'text': 'Vale Dr Li Wenliang, a doctor of integrity who lost his own life helping others. He was among the first to warn about the coronavirus outbreak, only to be silenced by the police. Shame on the police and officials who silenced him they should be sacked. Hopefully China’s government will provide generous financial support to Dr Li’s wife and children. \n#liwenliang'}}]"
47,B8QLl7QHAAL,0,12,"[{'node': {'text': '“Dr. Li Wenliang noticed seven patients with SARS-like symptoms in December and tried to warn the world about it. He was silenced by police.” He was silenced by the Chinese police. And tonight he passed away, not simply from the viral infection. I have little words, but lot of tears. The censoring machine is at work again, upon his death. We shall not forget how we have been silenced, oppressed. We shall not forget the courageous people who have spoken the truth. We shall stay vigilant and fight. #liwenliang #coronavirus #wuhan'}}]"
48,B8P7D7EgFt9,0,6,[{'node': {'text': 'R.I.P #doctor #liwenliang'}}]
49,B8PAsjAnTlH,6,63,[{'node': {'text': '#liwenliang #Rip #healthheroes #coronavirus'}}]
50,B8QL11IBNc1,0,5,"[{'node': {'text': '“我是李先生” “Call Me Mr.Li""\n\nDate: 2020/2/6\n\n#callmemrli #liwenliang #humanrights #tokyodisneyland #china #coronavirus #wuhan #medicalsupport #policy #hedyzhangart2020'}}]"
0,B8QWZ10FptK,2,14,[{'node': {'text': '一個健康的社會不該只有一種聲音.痛心 .R.I.P. #李文亮 #liwenliang #china #武汉 #武汉肺炎 #rip'}}]
1,B8PVdjCHnip,1,9,[{'node': {'text': '#liwenliang  #liwenliang #wuhanvirus they are liars and killer.'}}]
2,B8JnyL7l6mw,0,9,"[{'node': {'text': 'Reposted from @teletrece ""Le advertimos solemnemente: si sigue siendo terco e impertinente, y continúa con esta actividad ilegal, será llevado ante la Justicia ¿se entiende?"" 🤐 \nEsa fue la advertencia que las autoridades de China le hicieron a Li Wenliang, un oftalmólogo del Hospital Central de Wuhan, quien días antes envió en un chat con otros médicos, un aviso sobre un nuevo virus parecido al SARS que estaba registrándose en su zona. \nChina, cuyo control de internet es sabido, supo de la conversación y llegó directamente donde el profesional a pedirle que detenga sus ""comentarios falsos"" que habían ""perturbado severamente el orden social"". El mensaje fue a finales de diciembre, ya en los primeros días de enero Wenliang atendió a una paciente quien resultó tener el coronavirus. Posteriormente él y sus padres también contrajeron el virus.\n\nEstos días, donde China ha reconocido el virus y el combate al mismo, el oftalmólogo publicó en Weibo (el Twitter chino) el documento que le obligaron a firmar donde se retractaba de su advertencia. Su caso se viralizó y hoy las autoridades chinas le pidieron disculpas. 🔸 La historia completa en T13.cl\n\n#weibo #wuhan #LiWenliang #chinaeliseg29 - #regrann'}}]"
3,B8PEFFlDAXW,0,3,[{'node': {'text': '#liwenliang 我在本不该存在的地方才能知道您离去的事实，墙里墙外，不能，也不明白。一路走好，向您致敬。'}}]
4,B8PKKuphx7r,0,3,[{'node': {'text': '#liwenliang \n好走'}}]
5,B8PZRBkIAH4,5,66,[{'node': {'text': 'Rest in grievance 🖤\n#李文亮 #liwenliang\n#不能不明白'}}]
6,B8P_X_KBGgP,0,1,[{'node': {'text': '#liwenliang Feeling so depressed and angry towards Chinese government. We have right listening to different opinions and then have our own opinion after dialectical thinking. The wall is not for protecting us. It is for protecting your tyranny!!!'}}]
7,B8PHEIrFLRM,3,18,"[{'node': {'text': ""🔴Virüsü ilk tespit eden isim olan Çinli doktor Li Wenliang, koronavirüs'e yenilerek tedavi gördüğü hastenede hayatını kaybetti. .\n🔴Şimdiye kadar 565 kişi virüsten hayatını kaybetti.\n.\n\U0001f7e4Vaka sayı ve konumları fotoğrafta mevcuttur.\n.\n\n@medsciencenews #science #bilim #virüs #virus #corona #coronavirus #china #wuhanvirus #wuhan #liwenliang #medicine #med #yks""}}]"
8,B8PEmDlJdN7,2,11,"[{'node': {'text': 'In the land of the blind, the one-eyed man is king. The man wants you to keep being blind but eventually, we all shall know, it’s up to you.\n\n#liwenliang'}}]"
9,B8QJPIQJYl2,1,6,[{'node': {'text': 'Connectivity is power. Uncensored connectivity is real power. Decentralized web is the weapon to fight censorship.  @balajis2 #decentralized#liwenliang'}}]
10,B8P9JQTp5KJ,0,9,"[{'node': {'text': '就算遭遇了覆盖黎明前的黑暗,也别忽略那些仍战斗在一线的片片星光!R.I.P.🕯️#李文亮医生去世 #liwenliang'}}]"
11,B8QcKtAlY5L,0,4,"[{'node': {'text': 'Doctor que lanzó la alerta del coronavirus chino murió a causa de la epidemia \n@infosatelital \nUn doctor chino que lanzó la alerta pública por la aparición del nuevo coronavirus murió a causa de la infección este viernes, informó el hospital donde estaba internado en la ciudad de Wuhan. \nEl oftalmólogo Li Wenliang murió en la madrugada del viernes (hora local), informó el Hospital central de Wuhan, a través de su cuenta en la red social china Weibo. \nTras atender a unos pacientes con síntomas similares a los del Síndrome Respiratorio Agudo Severo (SARS), Li envió un mensaje a sus colegas advirtiéndoles de que se pusieran mascarillas para protegerse. Más tarde, las autoridades lo acusaron, junto a otras ocho personas, de «propagación de rumores». Contrajo la enfermedad al tratar a un paciente y los internautas chinos empezaron a referirse a él como a un héroe. El hospital central de Wuhan, en el que trabajaba Li, confirmó su deceso en una publicación breve su cuenta de la red social china Weibo. \nPrensa Informativo Satelital \n#china #wuham #weibo #wechat #salud #epidemia #internacionales #liwenliang'}}]"
12,B8PHL2LJOMB,0,12,[{'node': {'text': '#LiWenliang\n#فيروس_كورونا\n\u200e#coronavirus\n\u200e#検査拒否 \u200e#WuhanVirus \u200e#冠状病毒 \u200e#武汉 \n#النصر_الفتح\n#CnnTürkBoykot\n#ThursdayThoughts\n#China #messi\n#CoronavirusOutbreak'}}]
13,B8PE8HGlzF4,4,45,"[{'node': {'text': ""·\n🇨🇳 🕯️【Wuhan whistleblower medic Li Wenliang dies of coronavirus】\nWuhan's doctor Li Wenliang, one of eight whistleblowers who tried to warn novel #coronavirus outbreak on Dec. 30, dies from the virus on Thursday in #Wuhan. “We are deeply saddened by the passing of Dr Li Wenliang. We all need to celebrate work that he did on #2019nCoV,” said WHO on twitter.\n· 🇨🇳【武汉中心医院医生李文亮经抢救无效去世】\n\n武汉中心医院眼科医生李文亮，在抗击新型冠状病毒感染的肺炎疫情工作中不幸感染，经全力抢救无效，于2020年2月7日凌晨2点58分去世，对此，医院方面深表痛惜和哀悼。\n\n疫情是魔鬼。李文亮是最早一批撩起疫情魔鬼面纱的医者。他凭借专业素养和职业敏感，在新型冠状病毒肺炎疫情初期就及时向外界发出了防护预警，被誉为疫情“吹哨人”。他始终坚守岗位，在为患者诊疗过程中不幸被感染。接受隔离治疗期间，他心态乐观、积极配合，表示康复后想赶快回到一线工作，继续为患者看病。\n\n#liwenliang #whistleblower #prayforwuhan #李文亮 #吹哨人 #李文亮医生去世""}}]"
14,B8PXHDUp04S,2,10,[{'node': {'text': '杀人放火金腰带，修桥补路无尸骸。He was just 33. He was one of the eight people who tried to warn the public about the virus but got criticised by the police. No word can express my anger and sadness about this. R.I.P.'}}]
